,ML True,DL True,Persistence,SVR,Ridge,RandomForestRegressor,GradientBoostingRegressor,AdaBoostRegressor,BaggingRegressor,RNNModel,LSTMModel,GRUModel,TransformerWithLinear,TransformerWithAttention
1,34.7,34.7,-0.7,58.765840592505214,43.881205813782174,35.56999999999995,38.403855555077804,62.42599388379214,35.209999999999994,39.045715,36.570465,29.323257,33.72203,14.23999
2,-1.0,-1.0,34.7,-25.074104776410366,-123.63477118497772,-0.9059999999999997,0.19939154871573272,75.29530516431983,-0.8799999999999999,0.017959595,-4.9382935,-1.9083405,-3.6447296,-10.806564
3,-0.8,-0.8,-1.0,-24.88037440329481,-36.97385483809023,-0.7199999999999992,1.0868175667377706,56.314353312302806,-0.71,-2.0943909,2.2316284,-1.4059601,-2.881363,-10.779633
4,-1.2,-1.2,-0.8,2.5068876478823654,5.79217180106852,-0.8630000000000012,1.0868175667377706,42.244959128065176,-1.0799999999999998,8.2108,11.417908,3.4181976,-0.3219452,-9.169235
5,-0.6,-0.6,-1.2,23.51546624724861,-0.022421555500926615,-0.5390000000000008,1.0868175667377706,56.314353312302806,-0.6799999999999997,7.664383,5.5608673,3.3024445,-0.96495056,-8.209793
6,-0.7,-0.7,-0.6,23.422112800628554,-26.1911054450442,-0.7090000000000011,2.2796380319662832,56.314353312302806,-0.75,3.3332825,5.907318,2.8258514,-1.7364807,-8.411682
7,11.7,11.7,-0.7,33.67773539570766,36.43572308645,11.614000000000015,13.53884779560625,56.314353312302806,11.389999999999999,15.28743,16.931229,13.402115,10.716187,1.0904846
8,2.2,2.2,11.7,26.260162913910392,-3.8020545694063514,7.610000000000006,14.725240869824802,42.244959128065176,3.5,18.460419,26.253235,22.108368,0.357193,2.8274689
9,-0.8,-0.8,2.2,23.276077187587333,-45.00518506914878,-0.7599999999999991,1.0868175667377706,38.576046511627986,-0.9,4.092636,3.7382812,0.40452576,-0.049072266,-9.056259
10,32.6,32.6,-0.8,56.56926902227099,65.13529135755408,33.32499999999996,32.92263643871566,60.555856573705846,34.440000000000005,26.112854,30.470444,28.563187,36.181824,22.256668
11,10.4,10.4,32.6,34.48848391086281,-3.8734478042656235,9.520999999999988,8.630440113972996,56.6957723577229,10.180000000000001,13.441193,13.300064,12.435181,8.7964325,0.3393402
12,-1.5,-1.5,10.4,22.495480989943502,-2.9927236506138684,-1.1399999999999997,1.392212013944246,60.555856573705846,-1.09,13.504211,5.062958,2.0700073,1.3791351,-8.401535
13,-1.3,-1.3,-1.5,22.71531888225425,-25.270830832346633,-1.158999999999999,2.291010452906831,34.947732181425124,-1.2200000000000002,0.99102783,1.7254028,-0.89689636,-1.9368896,-8.94809
14,113.3,113.3,-1.3,112.99211784606302,185.20242028585116,114.0349999999999,111.23968289575394,92.68919667590099,113.38,120.16145,114.523674,96.96824,113.17514,109.71807
15,99.2,99.2,113.3,84.27457420514389,120.2115922225213,102.59800000000003,98.85920053746217,108.0073248407643,99.20000000000002,103.8941,104.15653,109.56621,104.85496,105.51849
16,68.8,68.8,99.2,92.81392156038227,86.7587135694934,70.21900000000007,72.28667070480506,85.949609375,72.26,78.50127,75.08621,73.412476,74.591385,72.99661
17,14.4,14.4,68.8,38.437735728693184,-19.80911014689758,13.863000000000008,13.257820574738835,71.39834983498348,13.45,16.238358,12.995529,11.823364,12.376877,5.322632
18,-1.2,-1.2,14.4,-25.255366084475924,-94.48316378122931,-1.050000000000001,0.6994263397303001,29.41586073500951,-1.1499999999999997,-2.9771576,-4.1099396,-1.8097382,-3.2647705,-10.572815
19,-1.3,-1.3,-1.2,22.759444606657127,0.24995801394652517,-0.8199999999999993,0.6994263397303001,56.314353312302806,-0.6799999999999999,5.424759,3.7388458,2.3309174,-1.2192993,-9.491669
20,-0.7,-0.7,-1.3,11.372641206247721,-48.1429247681846,-0.7150000000000012,1.2396787768219701,56.6957723577229,-0.17,-1.1660767,-3.2874756,-5.842865,-3.6757202,-10.647766
21,-0.8,-0.8,-0.7,23.319241450688253,3.214326870439976,-0.5619999999999998,0.19939154871573272,56.314353312302806,0.48000000000000015,4.737213,0.92178345,-2.230011,-2.8457642,-9.603729
22,-0.8,-0.8,-0.8,23.068783024973158,-24.48923539210702,0.7750000000000008,3.2994650365439377,60.555856573705846,1.39,-5.3320923,-5.5615387,-7.6783905,-4.3232117,-10.413818
23,-0.7,-0.7,-0.8,10.911953330125016,-10.987375891764827,-0.7510000000000008,1.0868175667377706,38.576046511627986,-0.35,4.1930237,0.06498718,1.1098022,-2.691925,-10.920456
24,-0.6,-0.6,-0.7,1.2568588796472682,-82.57882869175009,-0.6670000000000007,-1.6888634530607978,39.39841269841246,-0.6499999999999999,3.1381836,-6.986908,-5.722748,-3.3286743,-11.054321
25,-1.6,-1.6,-0.6,22.43930382136182,21.707748308341962,-1.1929999999999987,0.19939154871573272,56.6957723577229,-1.1999999999999997,7.07016,8.128601,6.616852,-1.8445587,-9.197205
26,-0.6,-0.6,-1.6,23.47948458613888,-37.858934360302726,-0.5260000000000007,0.6994263397303001,37.586147186146995,-0.53,10.236374,1.1009979,3.8316956,-1.2847595,-11.170593
27,37.2,37.2,-0.6,61.301932844010224,123.10988532847486,38.40799999999995,38.94410799216948,62.42599388379214,38.6,28.965637,41.180756,39.78897,41.863464,32.440918
28,54.1,54.1,37.2,78.1394924478376,84.40175820541344,54.95800000000004,57.611603158243355,83.5984025559106,54.980000000000004,53.525055,53.614487,58.488174,55.803513,53.19594
29,42.4,42.4,54.1,66.47582985425746,39.86444101596351,41.76600000000004,38.92663546555257,65.61798561151079,41.54,35.35164,40.31604,39.485886,42.490097,35.853333
30,170.6,170.6,42.4,146.5503128645557,205.51454039873357,171.40900000000016,169.33114014566172,189.35913461538476,175.63999999999996,153.8048,173.72018,178.43996,167.75003,170.98068
31,168.4,168.4,170.6,170.10807025938547,199.27713290302805,169.65699999999987,176.77926470319065,215.26789215686196,169.17000000000002,170.3016,173.1249,178.33202,173.4857,177.95332
32,62.2,62.2,168.4,86.24771313534718,86.97437509920007,62.446999999999946,65.13273393041204,108.0073248407643,61.57000000000001,62.886795,61.006516,60.656586,67.38937,63.095367
33,73.3,73.3,62.2,97.39693954412479,93.68328452287375,74.63100000000004,76.6389186053637,136.0894300518124,73.78999999999999,77.28453,81.33597,74.81932,76.826294,69.67636
34,158.6,158.6,73.3,150.41545642449125,188.79567574295487,164.20500000000018,176.39969982656288,206.22399999999993,164.97999999999996,167.23018,178.14859,171.41414,170.49492,180.65126
35,283.2,283.2,158.6,239.9621666227959,236.25723709488446,289.6450000000003,298.7898359075786,270.87353463587885,291.03,294.3216,303.0536,302.28333,284.3589,315.5835
36,137.2,137.2,283.2,178.05373047208585,195.1605656002501,145.16200000000018,153.32160534181222,212.99006102877078,149.62,153.95824,153.92569,154.95058,157.78653,150.90547
37,171.4,171.4,137.2,195.5050993214987,179.14844956647,177.1219999999999,190.11094092169745,211.15680751173682,178.59000000000003,172.8535,182.26814,181.68059,184.48813,183.41125
38,59.4,59.4,171.4,41.82031723750549,54.751028125021946,59.304999999999964,59.004144213342116,92.68919667590099,57.61999999999999,61.95436,57.219254,58.64937,59.176956,47.95343
39,113.4,113.4,59.4,132.93805576766368,145.56674657093257,116.46799999999986,120.64103519175227,191.04517228322428,115.41,116.318275,124.35657,120.28988,123.30143,123.77246
