,train,valid
1,0.5767192840576172,0.6877305507659912
2,0.4551340341567993,0.5325446128845215
3,0.28789299726486206,0.3363902270793915
4,0.17820808291435242,0.22803710401058197
5,0.2531384825706482,0.35793882608413696
6,0.16649551689624786,0.20546771585941315
7,0.16384127736091614,0.20481809973716736
8,0.14803439378738403,0.19562263786792755
9,0.1693965643644333,0.19088579714298248
10,0.13963668048381805,0.17414246499538422
11,0.13093917071819305,0.17268915474414825
12,0.12237460911273956,0.17293432354927063
13,0.14521263539791107,0.1956724375486374
14,0.15117724239826202,0.17925353348255157
15,0.12032788246870041,0.1795443743467331
16,0.14195917546749115,0.20763276517391205
17,0.17172254621982574,0.21837939321994781
18,0.18032558262348175,0.2149481177330017
19,0.12043338268995285,0.16143125295639038
20,0.12324175983667374,0.19446618854999542
21,0.136009082198143,0.2042437344789505
22,0.11506000906229019,0.1744779795408249
23,0.1456112265586853,0.2180139720439911
24,0.1379219889640808,0.19126196205615997
25,0.12970313429832458,0.1673063486814499
26,0.13344332575798035,0.17514796555042267
27,0.12242487072944641,0.17865639925003052
28,0.13107526302337646,0.20961686968803406
29,0.1929759830236435,0.22322186827659607
30,0.1154828742146492,0.15915881097316742
31,0.1232418492436409,0.1935480535030365
32,0.1222902312874794,0.1556106060743332
33,0.11386669427156448,0.16565857827663422
34,0.12261652201414108,0.17798148095607758
35,0.12734663486480713,0.18160872161388397
36,0.12584398686885834,0.16461984813213348
37,0.11485888808965683,0.16085563600063324
38,0.10819946229457855,0.15525296330451965
39,0.12919780611991882,0.16743408143520355
40,0.1177210584282875,0.15277646481990814
41,0.11371097713708878,0.17094071209430695
42,0.1114618107676506,0.15487821400165558
43,0.11258747428655624,0.14837156236171722
44,0.1630479246377945,0.24286673963069916
45,0.1251697838306427,0.18752990663051605
46,0.1140744760632515,0.15726028382778168
47,0.11357801407575607,0.15396648645401
48,0.11723524332046509,0.15822966396808624
49,0.1267230063676834,0.1781773865222931
50,0.12698808312416077,0.17258667945861816
51,0.11132267862558365,0.16402845084667206
52,0.13840799033641815,0.1967076063156128
53,0.11246230453252792,0.16634424030780792
54,0.10975291579961777,0.1446412205696106
55,0.1431068331003189,0.19287189841270447
56,0.11113607883453369,0.1610572189092636
57,0.11627430468797684,0.14970287680625916
58,0.11111418902873993,0.16762420535087585
59,0.11190994828939438,0.1674819439649582
60,0.10782128572463989,0.16205966472625732
61,0.10544683784246445,0.1538568139076233
62,0.11261074244976044,0.16917529702186584
63,0.10901553928852081,0.16740266978740692
64,0.10749433934688568,0.16545456647872925
65,0.11569918692111969,0.17263859510421753
66,0.09893873333930969,0.14981624484062195
67,0.09855947643518448,0.1488341987133026
68,0.09897899627685547,0.14819952845573425
69,0.0989445149898529,0.14709103107452393
70,0.10438990592956543,0.16128948330879211
71,0.09848431497812271,0.1519344300031662
72,0.09808472543954849,0.14639848470687866
73,0.09954505413770676,0.15468493103981018
74,0.10551483929157257,0.1641397923231125
75,0.10145215690135956,0.15741726756095886
76,0.09936102479696274,0.14829088747501373
77,0.09704020619392395,0.14720329642295837
78,0.09745170176029205,0.15199881792068481
79,0.0977705717086792,0.15262269973754883
