,train,valid
1,0.17464599013328552,0.31321629881858826
2,0.09811119735240936,0.16707108914852142
3,0.0447860062122345,0.08249649405479431
4,0.025860002264380455,0.05791883543133736
5,0.033306464552879333,0.05949315056204796
6,0.022466430440545082,0.045841753482818604
7,0.02230980060994625,0.04039624705910683
8,0.02089569717645645,0.05304340645670891
9,0.020888976752758026,0.04574810713529587
10,0.01868414506316185,0.0427178330719471
11,0.01903572678565979,0.048228565603494644
12,0.017829738557338715,0.038436055183410645
13,0.019119447097182274,0.04058345779776573
14,0.02121911011636257,0.054058987647295
15,0.01722375676035881,0.03972829505801201
16,0.01765143871307373,0.04209756851196289
17,0.01895071193575859,0.04113857448101044
18,0.01954515464603901,0.03987722843885422
19,0.016602708026766777,0.038752347230911255
20,0.016823554411530495,0.04009675607085228
21,0.01769457571208477,0.037126317620277405
22,0.01638108491897583,0.038162712007761
23,0.017588483169674873,0.038274135440588
24,0.017587974667549133,0.03844437003135681
25,0.01864183321595192,0.0367862842977047
26,0.017532123252749443,0.03632602468132973
27,0.01653495989739895,0.04112296551465988
28,0.01809343881905079,0.038218554109334946
29,0.01945517212152481,0.04399501159787178
30,0.01711352728307247,0.04459412395954132
31,0.017127029597759247,0.04061736539006233
32,0.016689710319042206,0.04458265006542206
33,0.015960469841957092,0.04103931412100792
34,0.01648867130279541,0.04358552396297455
35,0.01627562753856182,0.04294357821345329
36,0.0164962001144886,0.03996435925364494
37,0.01580897718667984,0.03965194895863533
38,0.01589837670326233,0.041387129575014114
39,0.017494075000286102,0.04543829709291458
40,0.015760963782668114,0.03930385038256645
41,0.016142336651682854,0.04180663824081421
42,0.016247572377324104,0.04034869000315666
43,0.01661369763314724,0.042931221425533295
44,0.018226275220513344,0.043730586767196655
45,0.01691686175763607,0.043932847678661346
46,0.016214316710829735,0.04301254078745842
47,0.016476551070809364,0.04292430728673935
48,0.01695174351334572,0.04591633006930351
49,0.016606541350483894,0.0408901609480381
50,0.01930905319750309,0.05330219492316246
51,0.015765732154250145,0.04086693376302719
52,0.016600800678133965,0.04353586584329605
53,0.01563212275505066,0.04052667319774628
54,0.015659671276807785,0.04612698033452034
55,0.018919646739959717,0.04826981574296951
56,0.015488600358366966,0.044566843658685684
