,train,valid
1,0.08956200629472733,0.14336378872394562
2,0.04939575120806694,0.09128407388925552
3,0.0358920581638813,0.05634584277868271
4,0.04794221371412277,0.08347467333078384
5,0.025400955229997635,0.05647379904985428
6,0.04573895409703255,0.07510985434055328
7,0.023011846467852592,0.04764001816511154
8,0.024070564657449722,0.052265435457229614
9,0.03233342245221138,0.07233639061450958
10,0.028299666941165924,0.05789228156208992
11,0.039569806307554245,0.07617312669754028
12,0.025544671341776848,0.06423230469226837
13,0.02279030904173851,0.04806019738316536
14,0.02104581519961357,0.04377380385994911
15,0.030280763283371925,0.06040395796298981
16,0.018533557653427124,0.04966181889176369
17,0.023739006370306015,0.057169847190380096
18,0.02878774143755436,0.043324682861566544
19,0.020721016451716423,0.04705408588051796
20,0.02716745436191559,0.05087818577885628
21,0.03039374016225338,0.061278752982616425
22,0.020212454721331596,0.045041318982839584
23,0.03725608065724373,0.07794461399316788
24,0.018587619066238403,0.046400442719459534
25,0.026278654113411903,0.0573318749666214
26,0.018078139051795006,0.046593744307756424
27,0.022278524935245514,0.05224180221557617
28,0.02891513705253601,0.0652807354927063
29,0.021670237183570862,0.05247000232338905
30,0.024629924446344376,0.06519996374845505
31,0.01935667358338833,0.05356293171644211
32,0.03392314910888672,0.07467764616012573
33,0.0332990325987339,0.08289510011672974
34,0.02074618637561798,0.06158275529742241
35,0.01842038705945015,0.056619852781295776
36,0.01901666820049286,0.053370922803878784
37,0.01845107600092888,0.05643460899591446
38,0.01925782300531864,0.05655188485980034
39,0.01792244426906109,0.053877733647823334
40,0.017516734078526497,0.05423031747341156
41,0.021328207105398178,0.06665599346160889
42,0.017848573625087738,0.055932965129613876
43,0.01723756454885006,0.051771748811006546
44,0.01657010428607464,0.05084563419222832
45,0.01987523026764393,0.060731276869773865
46,0.0161849707365036,0.049656257033348083
47,0.01758906990289688,0.05655390024185181
48,0.01598086766898632,0.05156586691737175
49,0.018067019060254097,0.05461164936423302
50,0.015695443376898766,0.05155297741293907
51,0.016979048028588295,0.05121069401502609
52,0.016179649159312248,0.051927290856838226
53,0.017959509044885635,0.051857199519872665
54,0.017261451110243797,0.051090456545352936
55,0.018559008836746216,0.05411141365766525
56,0.017267799004912376,0.04911357909440994
57,0.015133051201701164,0.04887324944138527
58,0.01878618635237217,0.05307306349277496
59,0.016390817239880562,0.04691189527511597
60,0.01578691601753235,0.05159318447113037
61,0.016210326924920082,0.049467913806438446
62,0.015377174131572247,0.04940081760287285
63,0.0143976965919137,0.04934709519147873
64,0.015114753507077694,0.04913150146603584
65,0.01706857420504093,0.05180446058511734
66,0.014833089895546436,0.04699161648750305
67,0.017227625474333763,0.04913291707634926
68,0.01755855232477188,0.050246886909008026
69,0.01609107479453087,0.04998989775776863
70,0.015182512812316418,0.04966069385409355
71,0.014326675795018673,0.04698982462286949
72,0.014998063445091248,0.050675325095653534
73,0.015496104955673218,0.05026326701045036
74,0.016238300129771233,0.05309274420142174
75,0.015196865424513817,0.04965876787900925
76,0.015104537829756737,0.04886969178915024
77,0.015293119475245476,0.049282707273960114
78,0.0146993612870574,0.05093730241060257
79,0.014971736818552017,0.049302149564027786
80,0.014835170470178127,0.047420576214790344
81,0.01664467714726925,0.05430396646261215
82,0.018091538920998573,0.053633637726306915
83,0.01751883141696453,0.0517159067094326
84,0.0166933611035347,0.05061623081564903
85,0.015040564350783825,0.046978726983070374
86,0.01663173735141754,0.050934046506881714
87,0.015299205668270588,0.050253383815288544
88,0.014867193065583706,0.048691194504499435
89,0.015118123963475227,0.04937174543738365
90,0.01575208269059658,0.05016838386654854
91,0.015209374018013477,0.0483991913497448
92,0.01464054174721241,0.04828229174017906
93,0.014338559471070766,0.047684673219919205
94,0.015465074218809605,0.052472975105047226
95,0.014400279149413109,0.04899606481194496
